Alloy,No,Component,Fraction,a,delta,Tm,Hmix,D_Hmix,Sid,Elec_nega,D_elec_nega,VEC,D_VEC,BulkModulus,D_Bulk,Phase_inshort
AlFe2Ti,3,Al Fe Ti,1 2 1,1.344,0.07704217,1624.1175,-21.5,4.563784066,1.039720771,1.7025,0.129879752,5.75,2.277608395,1.32E+11,40.33298898,IM
Al3Zr4,2,Al Zr,3 4,1.529714286,0.055319516,1616.058571,-43.10204082,0.444374551,0.682908105,1.45,0.138564065,3.571428571,0.494871659,73047619048,2.556836906,IM
Fe89Zr7B4,3,Fe Zr B,89 7 4,1.2495,0.101834156,1854.67,-10.7276,5.58264241,0.418618332,1.8034,0.136222025,7.52,1.374627222,1.69E+11,39.8433835,SS
Pd77Cu6Si17,3,Pd Cu Si,77 6 17,1.33144,0.063041941,1775.8547,-32.1604,9.235096192,0.671288175,2.131,0.126249752,9.04,2.293120145,1.64E+11,30.46309242,AM
Sr40Al20Co20Y20,4,Sr Al Co Y,40 20 20 20,1.7578,0.209138042,1320.094,-9.76,11.63030249,1.33217904,1.322,0.369182882,3.8,2.638181192,64157575758,62.54431861,AM
Mg6Pd,2,Mg Pd,6 1,1.568714286,0.050412957,1052.292857,-19.59183673,7.141369512,0.410116318,1.437142857,0.311435124,3.142857143,2.799416849,64285714286,47.24015933,IM
AlCoCrCu0.5Ni,5,Al Co Cr Cu Ni,1 1 1 0.5 1,1.292666667,0.058053397,1619.634444,-10.17283951,6.624275744,1.58109375,1.78,0.13114877,7.444444444,2.871743996,1.48E+11,40.57366415,SS
AlCo,2,Al Co,1 1,1.3415,0.067461796,1350.735,-19,0,0.693147181,1.745,0.135,6,3,1.28E+11,52,IM
Cu4Ce,2,Cu Ce,4 1,1.3874,0.15770506,1300.416,-13.44,3.024,0.500402424,1.744,0.312,9.4,3.2,1.16E+11,47.2,IM
CuNiCoFe,4,Cu Ni Co Fe,1 1 1 1,1.254,0.011403788,1666.1925,5,3.31662479,1.386294361,1.88,0.03082207,9.5,1.118033989,1.68E+11,16.39359631,SS
Al2CrCuFeNi2,5,Al Cr Cu Fe Ni,2 1 1 1 2,1.303428571,0.062974937,1524.53,-9.632653061,6.883381307,1.549826046,1.775714286,0.132434042,7.285714286,3.103651569,1.40E+11,42.58005665,IM
AlCrCu0.5FeNi,5,Al Cr Cu Fe Ni,1 1 0.5 1 1,1.290444444,0.05918952,1629.19,-7.703703704,6.277089509,1.58109375,1.768888889,0.124136524,7.222222222,2.779999112,1.46E+11,39.00364022,SS
CuAlNiCoCrFeSi,7,Cu Al Ni Co Cr Fe Si,1 1 1 1 1 1 1,1.264285714,0.061258363,1637.891429,-18.85714286,11.62196071,1.945910149,1.812857143,0.115846485,7.285714286,2.813959372,1.44E+11,37.98388488,SS
CrHfNbTiZr ,5,Cr Hf Nb Ti Zr,1 1 1 1 1,1.4642,0.086265386,2301,-4,3.57211422,1.609437912,1.486,0.144996552,4.6,0.8,1.24E+11,36.41580853,IM+SS
YGdTbDyLu,5,Y Gd Tb Dy Lu,1 1 1 1 1,1.7786,0.013719577,1727,0,0,1.609437912,1.202,0.056,3,4.44E-16,41340000000,3.541525095,SS
AuSn2,2,Au Sn,1 2,1.560666667,0.053765488,782.4966667,-8.888888889,0.523782801,0.636514168,2.153333333,0.273414622,6.333333333,3.299831646,1.12E+11,76.36753237,IM
Al85.5Fe9Ce5.5,3,Al Fe Ce,85.5 9 5.5,1.436425,0.075490316,1020.01185,-10.4742,6.045608545,0.510177328,1.60285,0.132326783,3.45,1.430908802,81490000000,30.42170114,AM
Bi2Mg3,2,Bi Mg,2 3,1.5326,0.054660413,771.68,-9.6,0.195959179,0.673011667,1.594,0.347827543,3.2,1.469693846,39400000000,6.85857128,IM
Ho35Al24Co20Y21,4,Ho Al Co Y,35 24 20 21,1.5904,0.139546791,1566.8728,-33.9328,10.65387477,1.359569279,1.4491,0.266781165,4.2,2.4,76850000000,53.60342806,AM
AlCuMg,3,Al Cu Mg,1 1 1,1.437,0.091796511,1071.413333,-2.666666667,0.608580619,1.098612289,1.606666667,0.240878024,5.333333333,4.027681991,87000000000,39.55586766,IM
Fe3W2,2,Fe W,3 2,1.2914,0.047798623,2564.6,0,0,0.673011667,2.042,0.259645913,7.2,0.979795897,2.26E+11,68.5857128,IM
CrFe,2,Cr Fe,1 1,1.245,0.003212851,1995.5,-1,0,0.693147181,1.745,0.085,7,1,1.65E+11,5,IM
Au2Pb,2,Au Pb,2 1,1.544666667,0.093996068,1091.756667,1.777777778,0.10475656,0.636514168,2.47,0.098994949,8.666666667,3.299831646,1.62E+11,82.02438662,IM
Al4Cu3,2,Al Cu,4 3,1.366,0.055790802,1115.312857,-0.979591837,0.010099422,0.682908105,1.734285714,0.143512781,6.428571429,3.958973274,1.03E+11,31.6717862,IM
Ni46Ti20Zr23Al12,4,Ni Ti Zr Al,46 20 23 12,1.392168317,0.104109703,1766.867723,-45.30144104,11.76717706,1.268908671,1.669009901,0.237342986,6.613861386,3.111684454,1.29E+11,48.58295937,AM
Cu16Mg6Si7,3,Cu Mg Si,16 6 7,1.314655172,0.11787283,1347.286897,-16.68489893,5.140500651,0.997180402,1.777931034,0.238997609,7.448275862,3.996431226,1.11E+11,37.34102251,IM
Ni57Zr20Ti18Pd5,4,Ni Zr Ti Pd,57 20 18 5,1.36273,0.106578606,1851.3425,-42.688,12.48852104,1.100745697,1.7419,0.260517543,7.72,2.912318664,1.46E+11,45.60501922,AM
Zr44Ti11Cu10Ni10Be25,5,Zr Ti Cu Ni Be,44 11 10 10 25,1.40054,0.144418198,1848.407,-37.068,13.19042541,1.411122292,1.5281,0.214796159,4.8,2.976575213,1.08E+11,36.74213446,AM
Ni45Ti20Zr25Al10,4,Ni Ti Zr Al,45 20 25 10,1.39705,0.105775239,1791.147,-45.41,11.99027832,1.258048145,1.661,0.241824316,6.6,3.088689042,1.28E+11,48.6714688,AM
CoTi,2,Co Ti,1 1,1.3565,0.077773682,1854.5,-28,0,0.693147181,1.71,0.17,6.5,2.5,1.45E+11,35,IM
Pd77.5Cu6Si16.5,3,Pd Cu Si,77.5 6 16.5,1.33255,0.062310989,1776.55995,-31.4889,9.297977809,0.663644754,2.1325,0.125274698,9.07,2.266075903,1.64E+11,30.14365605,AM
CuZr,2,Cu Zr ,50 50,1.4405,0.112808053,1742.885,-23,0,0.693147181,1.615,0.285,7.5,3.5,1.05E+11,34.58333333,AM
Al4In3Sn3,3,Al In Sn,4 3 3,1.5268,0.052932165,653.837,5.28,1.749477636,1.088899975,1.766,0.145203306,3.3,0.458257569,57799000000,17.66754847,IM
Al7Cu3Mg6,3,Al Cu Mg,7 3 6,1.4665,0.080587476,1009.1,-2.484375,0.487781971,1.043353427,1.551875,0.21480278,4.125,3.333072906,76375000000,33.58920027,IM
HfW2,2,Hf W,1 2,1.437333333,0.069202009,3298.666667,-5.333333333,0.314269681,0.636514168,2.006666667,0.499688792,5.333333333,0.942809042,2.43E+11,94.28090416,IM
Al0.5NbTa0.8Ti1.5V0.2Zr,6,Al Nb Ta Ti V Zr,0.5 1 0.8 1.5 0.2 1,1.46964,0.049265412,2264.967,-8.6176,8.527177148,1.657193583,1.5142,0.099721412,4.3,0.640312424,1.27E+11,47.36782781,SS
CoCrCuFeMnNi,6,Co Cr Cu Fe Mn Ni,1 1 1 1 1 1,1.269166667,0.029966526,1727.295,1.444444444,3.868464886,1.791759469,1.788333333,0.135820552,8.5,1.707825128,1.58E+11,21.9215774,SS
Al45Cr7,2,Al Cr,45 7,1.407365385,0.044380905,1101.272115,-4.659763314,1.82268844,0.395067121,1.616730769,0.017065615,3.403846154,1.023936886,87307692308,28.6702328,IM
Cr9Mo21Ni20,3,Cr Mo Ni,9 21 20,1.29568,0.04422124,2299.92,-6.72,1.852779274,1.039530248,1.97,0.184119526,7.6,1.959591794,1.97E+11,28.62236887,IM
Co2Mo1.75Ni2VW1.75,5,Co Mo Ni V W,2 1.75 2 1 1.75,1.304411765,0.042011454,2436.382353,-6.740484429,3.705703804,1.583449225,2.014117647,0.230550717,7.529411765,1.913347761,2.15E+11,53.26047503,IM+SS
