Alloy,No,Component,Fraction,delta,omega,Phase_inshort
Nd60Al10Ni10Cu10Fe10,5,Nd Al Ni Cu Fe,60 10 10 10 10,0.115754332,75.44000642,AM
Mg80Ni10Nd10,3,Mg Ni Nd,80 10 10,0.069087087,151.1310349,AM
Mg2Sm1,2,Mg Sm,2 1,0.058972593,126.9507617,IM
B6Co21Sb2,3,B Co Sb,6 21 2,0.152900334,107.3794598,IM
Cd5Li4Mg,3,Cd Li Mg,5 4 1,0.018269005,46.42624053,IM
Al16Ru8Ti6,3,Al Ru Ti,16 8 6,0.032989908,47.06522489,IM
Fe89Zr5B6,3,Fe Zr B,89 5 6,0.106093361,72.32184971,SS
Al5Hf4Ni16,3,Al Hf Ni,5 4 16,0.09582442,45.59114864,IM
AlCrMoTaTiZr,6,Al Cr Mo Ta Ti Zr,1 1 1 1 1 1,0.074763443,247.7905108,AM
Mg17Sr2,2,Mg Sr,17 2,0.101927429,209.0906702,IM
CrHfNbTiZr ,5,Cr Hf Nb Ti Zr,1 1 1 1 1,0.086265386,925.8291589,IM+SS
BIn2Ni7,3,B In Ni,1 2 7,0.152853149,294.9670727,IM
AuGa2,2,Au Ga,1 2,0.016732295,24.41136524,IM
Co1.5Cr2Fe1.5NiAlMn2V ,7,Co Cr Fe Ni Al Mn V,1.5 2 1.5 1 1 2 1,0.048379564,330.3031444,IM
Cr9Mo21Ni20,3,Cr Mo Ni,9 21 20,0.04422124,355.7792274,IM
Al86Y4.5Ni8La1.5,4,Al Y Ni La,86 4.5 8 1.5,0.075581826,38.38823381,AM
Al0.5CoCrCuFeNiTi0.4,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 0.4,0.054909985,504.634759,SS
