Alloy,No,Component,Fraction,delta,omega,Phase_inshort
MnCrFe1.5Ni0.5Al0.3,5,Mn Cr Fe Ni Al,1 1 1.5 0.5 0.3,0.047027487,473.1479856,SS
Ti50Ni24Cu20BSi2Sn3,6,Ti Ni Cu B Si Sn,50 24 20 1 2 3,0.090987912,82.63219558,AM
B4Fe4Nd,3,B Fe Nd,4 4 1,0.251152365,64.02798802,IM
Ca6.23Mg3.78Sn7,3,Ca Mg Sn,6.23 3.78 7,0.100146686,27.08154179,IM
HfMoNbTiZr,5,Hf Mo Nb Ti Zr,1 1 1 1 1,0.060972711,2458.61759,SS
Dy4Sb3,2,Dy Sb,4 3,0.138739051,14.04874902,IM
Ni57.5Zr32Nb3Al7.5,4,Ni Zr Nb Al,57.5 32 3 7.5,0.118018115,38.8787751,AM
Mg3Sm1,2,Mg Sm,3 1,0.054740453,128.5295076,IM
Gd56Al24Co20,3,Gd Al Co,56 24 20,0.144683106,42.05946742,AM
Ni3Sn,2,Ni Sn,3 1,0.120900896,266.5974689,IM
CaAlZn,3,Ca Al Zn,1 1 1,0.165893148,55.08770262,IM
Al0.5CrFeNiCoCuTi0.6,7,Al Cr Fe Ni Co Cu Ti,0.5 1 1 1 1 1 0.6,0.059215207,391.8019831,SS
Cu10Sn3,2,Cu Sn,10 3,0.106191108,126.1815395,IM
FeCoNiMnV,5,Fe Co Ni Mn V,1 1 1 1 1,0.034408139,323.6479051,IM+SS
Al3Zr,2,Al Zr,3 1,0.050208627,20.99559206,IM
Al8V5,2,Al V,8 5,0.040676892,62.19706137,IM
Ag7Sb,2,Ag Sb,7 1,0.026584657,256.9650543,IM
MgCu,2,Mg Cu,50 50,0.112191733,263.4848827,AM
CaAl2Zn2,3,Ca Al Zn,1 2 2,0.14784248,71.98676328,IM
Be3Nb,2,Be Nb,3 1,0.108320651,55.70866836,IM
Cu4Ce,2,Cu Ce,4 1,0.15770506,48.41750883,IM
SrCaYbMgZnCu,6,Sr Ca Yb Mg Zn Cu,1 1 1 1 1 1,0.181418082,141.9084887,AM
Mg32Al24.5Zn24.5,3,Mg Al Zn,32 24.5 24.5,0.062373018,373.2429187,IM
Co5Cr2Mo3,3,Co Cr Mo,5 2 3,0.04017462,489.9357646,IM
Cu60.3Zr37.2Al2.5,3,Cu Zr Al,60.3 37.2 2.5,0.111180044,55.96503753,AM
La55Al25Ni5Cu10Co5,5,La Al Ni Cu Co,55 25 5 10 5,0.16166711,44.76548144,AM
Ca65Mg15Zn20,3,Ca Mg Zn,65 15 20,0.134526416,62.27232667,AM
AlLa,2,Al La,1 1,0.13500453,19.39416692,IM
TiZrNbMoV0.5,5,Ti Zr Nb Mo V,1 1 1 1 0.5,0.065542048,1423.8408,SS
AlCrMnTiV,5,Al Cr Mn Ti V,1 1 1 1 1,0.056812817,189.421973,IM
AlNi,2,Al Ni,1 1,0.069454817,41.92705518,IM
Cu58.1Zr35.9Al6,3,Cu Zr Al,58.1 35.9 6,0.109164109,59.29207199,AM
CrMnFe1.5Ni0.5Al1.2,5,Cr Mn Fe Ni Al,1 1 1.5 0.5 1.2,0.060300355,222.7236113,SS
Ni57Zr20Ti18Pd5,4,Ni Zr Ti Pd,57 20 18 5,0.106578606,47.73841104,AM
CoCuFeNiV,5,Co Cu Fe Ni V,1 1 1 1 1,0.022034208,1271.4229,SS
Ti53Cu27Ni12Zr3Al7Si3B,7,Ti Cu Ni Zr Al Si B,53 27 12 3 7 3 1,0.086004211,93.70497977,AM
AlCoCrCu0.5Ni,5,Al Co Cr Cu Ni,1 1 1 0.5 1,0.058053397,251.7285262,SS
AlNi2Ti,3,Al Ni Ti,1 2 1,0.075052471,45.70778576,IM
Ag5Cd8,2,Ag Cd,5 8,0.039350514,295.8054121,IM
B4InNi15,3,B In Ni,4 1 15,0.162153915,91.81672927,IM
FeCoNiCrCuAl3,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 3.0,0.066100026,229.7975663,SS
Zr41.2Ti13.8Cu12.5Ni10Be22.5,5,Zr Ti Cu Ni Be,41.2 13.8 12.5 10 22.5,0.139912901,76.47996985,AM
CoCrCu0.5FeNi,5,Co Cr Cu Fe Ni,1 1 0.5 1 1,0.008353125,5809.963387,SS
NiCoFeCrAl0.3,5,Ni Co Fe Cr Al,1 1 1 1 0.3,0.037575522,383.3379418,SS
Nd60Al10Ni10Cu18Fe2,5,Nd Al Ni Cu Fe,60 10 10 18 2,0.112719829,57.92898647,AM
CrCuFeMoNi,5,Cr Cu Fe Mo Ni,1 1 1 1 1,0.035802288,691.8342296,SS
Mg75Ni15Nd10,3,Mg Ni Nd,75 15 10,0.0830859,146.2326122,AM
Ag3Sn,2,Ag Sn,3 1,0.050899898,263.0397619,IM
Al0.5CoCrCuFeNiTi0.8 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 0.8,0.062616077,328.2187541,IM+SS
Cu0.5NiCoCrAl0.5Fe3,6,Cu Ni Co Cr Al Fe,0.5 1 1 1 0.5 3,0.038435999,971.4370716,SS
AlCrTiVZr,5,Al Cr Ti V Zr,1 1 1 1 1,0.086809189,148.3577016,IM
CuCoNiCrAl2.5Fe,6,Cu Co Ni Cr Al Fe,1 1 1 1 2.5 1,0.064784844,260.5806465,SS
Ti2CrCuFeCoNi,6,Ti Cr Cu Fe Co Ni,2 1 1 1 1 1,0.07240603,226.3270447,IM
AlCoCrCuFe0.5Ni,6,Al Co Cr Cu Fe Ni,1 1 1 1 0.5 1,0.054035009,513.4933548,SS
AuCu,2,Au Cu,1 1,0.060294118,103.7833871,IM
Fe91Hf7B2,3,Fe Hf B,91 7 2,0.084490513,86.03896718,SS
AlSb,2,Al Sb,1 1,0.036929761,318.3711646,IM
Ni57.5Zr26Nb9Al7.5,4,Ni Zr Nb Al,57.5 26 9 7.5,0.112094334,46.96460775,AM
BCr2,2,B Cr,1 2,0.182850397,51.65004482,IM
Cu43Zr43Al7Ag7,4,Cu Zr Al Ag,43 43 7 7,0.104648958,73.46145579,AM
CrCuFeNiZr,5,Cr Cu Fe Ni Zr,1 1 1 1 1,0.106086283,205.7570251,SS
AlCo3.5CrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 3.5 1 0.5 1 1,0.047546288,378.4648958,SS
AuSn4,2,Au Sn,1 4,0.044938147,52.50550622,IM
Co1.5Cr0.5FeMn0.5Ni,5,Co Cr Fe Mn Ni,1.5 0.5 1 0.5 1,0.025893325,776.1118452,SS
Ni60Nb20Hf10Ti10,4,Ni Nb Hf Ti,60 20 10 10,0.088571907,68.27470059,AM
Ce60Al10Ni10Cu20,4,Ce Al Ni Cu,60 10 10 20,0.15889284,48.38967355,AM
AlCu2Mn,3,Al Cu Mn,1 2 1,0.047586315,413.3297955,IM
AlCoCrCuNi,5,Al Co Cr Cu Ni,1 1 1 1 1,0.055242051,390.938357,SS
Zr39.88Ti15.12Ni9.98Cu13.77Be21.25,5,Zr Ti Ni Cu Be,39.88 15.12 9.98 13.77 21.25,0.137644169,79.40615713,AM
Cu55Zr40Al5,3,Cu Zr Al,55 40 5,0.110505978,58.22844503,AM
FeCoNi,3,Fe Co Ni,1 1 1,0.003276471,1457.583855,SS
Cd3Cu4,2,Cd Cu,3 4,0.10234204,119.7369813,IM
Al85.8Ni9.1Y5.1,3,Al Ni Y,85.8 9.1 5.1,0.070176939,37.33377909,AM
B6CaNi11,3,B Ca Ni,6 1 11,0.246821208,71.07076151,IM
HfB2,2,Hf B,1 2,0.333118049,26.04644908,IM
CoCrMnNi,4,Co Cr Mn Ni,1 1 1 1,0.034469929,453.3812694,SS
Al18Cr2Mg3,3,Al Cr Mg,18 2 3,0.056489644,284.5100506,IM
Fe2Si,2,Fe Si,2 1,0.034236807,36.20628984,IM
BNi3,2,B Ni,1 3,0.16188101,58.82650434,IM
SmFe6Ti6N,4,Sm Fe Ti N,1 6 6 1,0.168733208,38.61454532,IM
AlCoCrFeNb0.25Ni,6,Al Co Cr Fe Nb Ni,1 1 1 1 0.25 1,0.060986832,204.0787442,IM+SS
AlCo2CrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 2 1 0.5 1 1,0.051715835,373.2129232,SS
Al2Li3Si2,3,Al Li Si,2 3 2,0.110750648,155.826942,IM
Al17Sb3,2,Al Sb,17 3,0.025708537,385.0036446,IM
Si2V,2,Si V,2 1,0.063643515,27.63366586,IM
BCo2,2,B Co ,1 2,0.183481651,58.51952132,IM
Zr70Pd30,2,Zr Pd,70 30,0.068084664,16.28663802,AM
B2Mo2Ni,3,B Mo Ni,2 2 1,0.223251437,81.35672205,IM
TiCrFeMnCoNi,6,Ti Cr Fe Mn Co Ni,1 1 1 1 1 1,0.062927534,243.1536064,IM+SS
Pd95Si5,2,Pd Si,95 5,0.035474579,34.59289581,AM
Cu2GeLi,3,Cu Ge Li,2 1 1,0.083485233,67.47602965,IM
CoCrFeNiAlNb0.75,6,Co Cr Fe Ni Al Nb,1 1 1 1 1 0.75,0.065024412,180.7021427,IM+SS
Ce68Al10Fe2Cu20,4,Ce Al Fe Cu,68 10 2 20,0.142649688,46.76692109,AM
TiZrNbMo,4,Ti Zr Nb Mo,1 1 1 1,0.059880115,1346.784972,SS
CaCu5,2,Ca Cu,1 5,0.186561732,82.18080487,IM
Mg65Cu15Ag10Y10,4,Mg Cu Ag Y,65 15 10 10,0.091260148,147.5666676,AM
CuDy,2,Cu Dy,1 1,0.162516383,47.93380563,IM
Cu5Ce,2,Cu Ce,5 1,0.148889736,50.59062168,IM
B6Ni21Ta2,3,B Ni Ta,6 21 2,0.157962479,62.83725061,IM
Au9Sn,2,Au Sn,9 1,0.036580353,113.2467172,IM
Al3Ru2,2,Al Ru,3 2,0.033025249,53.50983566,IM
CoFeNiVMo0.6,5,Co Fe Ni V Mo,1 1 1 1 0.6,0.034440309,335.3406131,IM+SS
B2CoMo2,3,B Co Mo,2 1 2,0.223498447,83.30606688,IM
HfNbTaTiZr,5,Hf Nb Ta Ti Zr,1 1 1 1 1,0.049944175,1492.872004,SS
Au46Ag5Cu29Si20,4,Au Ag Cu Si,46 5 29 20,0.086708413,77.84428025,AM
AlRe2,2,Al Re,1 2,0.019275508,208.2321623,IM
Al3V,2,Al V,3 1,0.035801478,58.38222052,IM
AgZr,2,Ag Zr,1 1,0.05183727,58.27513624,IM
B6Ni21Sn2,3,B Ni Sn,6 21 2,0.175813149,93.15363159,IM
Fe81Si2B13Nb3Cu1,5,Fe Si B Nb Cu,81 2 13 3 1,0.123797851,81.71731692,SS
Ce60Al15Ni15Cu10,4,Ce Al Ni Cu,60 15 15 10,0.154721258,42.55859989,AM
MoNbTiVZr,5,Mo Nb Ti V Zr,1 1 1 1 1,0.068534137,1408.021491,SS
La55Al25Ni15Cu5,4,La Al Ni Cu,55 25 15 5,0.163464401,38.19277456,AM
BNi2,2,B Ni,1 2,0.181900657,57.72387863,IM
Cu2In3Sn1,3,Cu In Sn,2 3 1,0.095938404,92.45881931,IM
B6Ni21Zr2,3,B Ni Zr,6 21 2,0.173934264,49.66907935,IM
Ti40Zr25Ni3Cu12Be20,5,Ti Zr Ni Cu Be,40 25 3 12 20,0.121747782,98.9064214,AM
HfW2,2,Hf W,1 2,0.069202009,393.684013,IM
Cu54Zr42.5Al3.5,3,Cu Zr Al,54 42.5 3.5,0.111504929,57.08896968,AM
CoFeNi1.4VMo,5,Co Fe Ni V Mo,1 1 1.4 1 1,0.037059927,357.9980744,IM+SS
AlCoCr1.5Cu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 1 1.5 0.5 1 1,0.053413543,392.9244825,SS
Al6CoMn,3,Al Co Mn,6 1 1,0.044375959,56.1208188,IM
Cu52.5Zr42.5Al5,3,Cu Zr Al,52.5 42.5 5,0.110629219,58.14748001,AM
Ti40Zr25Ni8Cu9Be18,5,Ti Zr Ni Cu Be,40 25 8 9 18,0.120055375,94.27962523,AM
AlB12,2,Al B,1 12,0.188079328,0,IM
Ni60Nb20Hf15Ti5,4,Ni Nb Hf Ti,60 20 15 5,0.094513272,66.01247605,AM
CrCuFeMnNi,5,Cr Cu Fe Mn Ni,1 1 1 1 1,0.03197742,1017.232215,SS
Cu3Ge,2,Cu Ge,3 1,0.012971606,86.13849751,IM
Ni57Zr20Ti13Pd10,4,Ni Zr Ti Pd,57 20 13 10,0.105634554,48.41162858,AM
Mg65Cu15Ag5Pd5Gd10,5,Mg Cu Ag Pd Gd,65 15 5 5 10,0.093637487,92.19520653,AM
Cu4In,2,Cu In,4 1,0.084532374,91.64917308,IM
Al0.5CoCrCu0.5FeNi2 ,6,Al Co Cr Cu Fe Ni,0.5 1 1 0.5 1 2,0.04054888,557.2245958,IM+SS
AlCrCu0.5FeNi,5,Al Cr Cu Fe Ni,1 1 0.5 1 1,0.05918952,334.3719106,SS
Al8Li5Mg2,3,Al Li Mg,8 5 2,0.0408656,219.45478,IM
Sr46Al14Co20Y21,4,Sr Al Co Y,46 14 20 20,0.204941992,367.8058319,AM
Al0.5CrCuFeNi2,5,Al Cr Cu Fe Ni,0.5 1 1 1 2,0.041996254,1016.98574,SS
CoFeSiB,4,Co Fe Si B,1 1 1 1,0.156988976,76.48728453,AM
Al0.5CoCrCuFeNiTi1.6 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.6,0.070864333,221.8012891,IM+SS
AlCrMoSiTi,5,Al Cr Mo Si Ti,1 1 1 1 1,0.08678293,91.02646475,IM
Al13Co4,2,Al Co,13 4,0.055258661,45.07793903,IM
MoNbTaVW,5,Mo Nb Ta V W,1 1 1 1 1,0.031480181,1027.681605,SS
Pt5Al3,2,Pt Al,5 3,0.015518142,26.0764372,IM
FeNi2CrCuAl,5,Fe Ni Cr Cu Al,1 2 1 1 1,0.053170061,438.4203615,SS
Cu2Ti,2,Cu Ti,2 1,0.064762393,123.4980702,IM
Cu4Ti3,2,Cu Ti,4 3,0.067108307,124.5336044,IM
Cu3Ti2,2,Cu Ti,3 2,0.066692233,123.9355658,IM
W6Fe7,2,W Fe,6 7,0.048349418,0,IM
Al31Cu16Ni14,3,Al Cu Ni,31 16 14,0.063157393,128.8780572,IM
ZrHfTiAlCuNi,6,Zr Hf Ti Al Cu Ni,1 1 1 1 1 1,0.094373785,92.74753994,IM+SS
B6Co2Nb2,3,B Co Nb,6 2 2,0.253785553,53.02619678,IM
BFe14Nd2,3,B Fe Nd,1 14 2,0.134029966,171.5420738,IM
NiCoFeCrAl0.375,5,Ni Co Fe Cr Al,1 1 1 1 0.375,0.04117134,349.5889328,SS
NbTiV2Zr,4,Nb Ti V Zr,1 1 2 1,0.074805076,2328.191025,SS
Ni46Ti20Zr23Al12,4,Ni Ti Zr Al,46 20 23 12,0.104109703,49.49056195,AM
B6Mn2Ni21,3,B Mn Ni,6 2 21,0.152913573,76.96722246,IM
TiZrNbMoV0.25,5,Ti Zr Nb Mo V,1 1 1 1 0.25,0.063163351,1418.162112,SS
AlCoCrFeNiZr,6,Al Co Cr Fe Ni Zr,1 1 1 1 1 1,0.102379003,114.3164577,AM+IM
Cu58.7Zr36.3Al3.5,3,Cu Zr Al,58.7 36.3 3.5,0.110590443,57.22600201,AM
CoCrCuFeNi,5,Co Cr Cu Fe Ni,1 1 1 1 1,0.010332037,889.6942601,SS
Al11Sm3,2,Al Sm,11 3,0.102513676,20.74286605,IM
Cd10Cu3,2,Cd Cu,10 3,0.081397736,97.68813864,IM
Ni60Nb20Hf5Ti15,4,Ni Nb Hf Ti,60 20 5 15,0.081853106,67.28599978,AM
Al12Mg17,2,Al Mg,12 17,0.054363704,324.0970534,IM
AlCe1,2,Al Ce,1 1,0.120663187,18.28148329,IM
Ni57.5Zr28Nb7Al7.5,4,Ni Zr Nb Al,57.5 28 7 7.5,0.114180352,44.46583661,AM
Zr17Ta16Ti19Nb22Si26,5,Zr Ta Ti Nb Si,17 16 19 22 26,0.110918364,75.3562988,AM
Ce65Al12.5Ni12.5Cu10,4,Ce Al Ni Cu,65 12.5 12.5 10,0.148668041,42.64076411,AM
Mg54Cu26.5Ag8.5Gd11,4,Mg Cu Ag Gd,54 26.5 8.5 11,0.110196544,153.1081373,AM
CoCrFeNiAl1.17,5,Co Cr Fe Ni Al,1 1 1 1 1.17,0.060206608,203.5996498,SS
CaZn13,2,Ca Zn,1 13,0.104163159,31.86742016,IM
Bi2CaMg2,3,Bi Ca Mg,2 1 2,0.124063092,32.56744397,IM
AlFe2Ti,3,Al Fe Ti,1 2 1,0.07704217,78.54086973,IM
Al2La,2,Al La,2 1,0.133281354,19.22067595,IM
Mg60Cu29Y10Si,4,Mg Cu Y Si,60 29 10 1,0.114128758,149.3419526,AM
Pd77.5Cu6Si16.5,3,Pd Cu Si,77.5 6 16.5,0.062310989,37.44191417,AM
Al0.5CoCrCuFeNiTi1.8 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.8,0.072086115,209.0791831,IM+SS
AuSn2,2,Au Sn,1 2,0.053765488,56.03289916,IM
Cu51Zr14,2,Cu Zr,51 14,0.09911268,51.05890006,IM
FeNi2CrCuAl0.6,5,Fe Ni Cr Cu Al,1 2 1 1 0.6,0.044886672,783.5467376,SS
Gd60Cu20Ni10Al10,4,Gd Cu Ni Al,60 20 10 10,0.153112181,57.91785077,AM
B6Hf2Ni21,3,B Hf Ni,6 2 21,0.171260783,53.5510557,IM
Cu0.75NiCoFeCrAl0.25,6,Cu Ni Co Fe Cr Al,0.75 1 1 1 1 0.25,0.032503327,4238.648478,SS
B2CoNb,3,B Co Nb,2 1 1,0.247692541,52.92810599,IM
Cr3Si,2,Cr Si,3 1,0.033934057,41.6786598,IM
Al13Cr4Si4,3,Al Cr Si,13 4 4,0.086327848,64.07955074,IM
CoCrFeNiAl2,5,Co Cr Fe Ni Al,1 1 1 1 2,0.066780149,157.5409158,SS
Zr45.38Ti9.62Cu8.75Ni10Be26.25,5,Zr Ti Cu Ni Be,45.38 9.62 8.75 10 26.25,0.146607984,67.23447229,AM
Ni60Nb15Hf5Ti20,4,Ni Nb Hf Ti,60 15 5 20,0.083025777,64.62023849,AM
CrMo0.5NbTa0.5TiZr ,6,Cr Mo Nb Ta Ti Zr,1 0.5 1 0.5 1 1,0.080423557,859.2532676,IM+SS
Ni60Nb15Hf10Ti15,4,Ni Nb Hf Ti,60 15 10 15,0.089571724,66.60260265,AM
Ti50Cu20Ni24Si4B2,5,Ti Cu Ni Si B,50 20 24 4 2,0.096916084,72.19412398,AM
TiVCrCuFeMnCoNi,8,Ti V Cr Cu Fe Mn Co Ni,1 1 1 1 1 1 1 1,0.055022828,463.484166,IM+SS
SrCaYbLi0.55Mg0.45Zn,6,Sr Ca Yb Li Mg Zn,1 1 1 0.55 0.45 1,0.157091252,132.6849656,AM
CoCrFeNiAlNb0.5,6,Co Cr Fe Ni Al Nb,1 1 1 1 1 0.5,0.063318485,190.4765991,IM+SS
Cu11In9,2,Cu In,11 9,0.099859939,65.34962379,IM
Ag3Ga,2,Ag Ga,3 1,0.016029106,150.244704,IM
Cu50Zr47Al3,3,Cu Zr Al,50 47 3,0.111447554,56.98954637,AM
AuNi2Sn4,3,Au Ni Sn,1 2 4,0.110431443,196.4768618,IM
Cu0.5NiCoCrAl0.5Fe3.5,6,Cu Ni Co Cr Al Fe,0.5 1 1 1 0.5 3.5,0.037372801,1036.495539,SS
FeNi2CrCuAl0.2,5,Fe Ni Cr Cu Al,1 2 1 1 0.2,0.029369486,21097.95913,SS
Ni60Al10Ni10Cu20,4,Nd Al Ni Cu,60 10 10 20,0.111946698,51.99580473,AM
CuMgSb,3,Cu Mg Sb,1 1 1,0.100931888,218.6616104,IM
Co2Mo0.8Ni2VW0.8,5,Co Mo Ni V W,2 0.8 2 1 0.8,0.038893071,401.1142651,IM+SS
CoCrCuFeNiTi0.8 ,6,Co Cr Cu Fe Ni Ti,1 1 1 1 1 0.8,0.057000242,474.7593965,IM+SS
Sr36Al24Co20Y20,4,Sr Al Co Y,36 24 20 20,0.210408066,137.9832369,AM
Al2FeTi,3,Al Fe Ti,2 1 1,0.063152898,59.01140029,IM
Al11Ce3,2,Al Ce,11 3,0.106355732,19.55016307,IM
AlCoCu,3,Al Co Cu,7 1 2,0.054240906,163.5981576,IM
Al4Mn,2,Al Mn,4 1,0.023170387,43.23279416,IM
CoCrCuFeNiTi,6,Co Cr Cu Fe Ni Ti,1 1 1 1 1 1,0.061173418,381.4244512,IM+SS
Au2Bi,2,Au Bi,2 1,0.003933835,384.2190472,IM
CoCrCuFeMn,5,Co Cr Cu Fe Mn,1 1 1 1 1,0.031470329,668.2084441,SS
TiZrNbMoV2,5,Ti Zr Nb Mo V,1 1 1 1 2,0.070711992,1373.522704,SS
CrFe,2,Cr Fe,1 1,0.003212851,1383.1752,IM
CuNiTi,3,Cu Ni Ti,1 1 1,0.071637003,103.5463368,IM
Al3Mg2,2,Al Mg,3 2,0.055209892,325.7383479,IM
Zr57Nb5Cu15.4Ni12.6Al10,5,Zr Nb Cu Ni Al,57 5 15.4 12.6 10,0.100440875,69.54270292,AM
Al2CuMg,3,Al Cu Mg,2 1 1,0.079581612,479.1622488,IM
Zr65Al7.5Cu17.5Ni10,4,Zr Al Cu Ni,65 7.5 17.5 10,0.099743591,58.39778843,AM
Al0.3NbTaTi1.4Zr1.3,5,Al Nb Ta Ti Zr,0.3 1 1 1.4 1.3,0.048446225,813.3607456,SS
Al85.5Fe9Ce5.5,3,Al Fe Ce,85.5 9 5.5,0.075490316,49.68273664,AM
Ti50Ni15Cu32Sn3,4,Ti Ni Cu Sn,50 15 32 3,0.07656994,111.6797323,AM
Co43Fe20Ta5.5B31.5,4,Co Fe Ta B,43 20 5.5 31.5,0.186632352,92.89418187,AM
FeCoNiCrTi,5,Fe Co Ni Cr Ti,1 1 1 1 1,0.066805618,185.953194,IM+SS
Al0.8CrCu1.5FeMnNi,6,Al Cr Cu Fe Mn Ni,0.8 1 1.5 1 1 1,0.049563605,1617.010007,SS
Mg70Ni15Nd15,3,Mg Ni Nd,70 15 15,0.083639826,130.4634807,AM
AgZn3,2,Ag Zn,1 3,0.015382334,155.2499554,IM
AlCoCr2Cu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 1 2 0.5 1 1,0.051830718,412.8464093,SS
AgMg3,2,Ag Mg,1 3,0.043245827,75.05168524,IM
Cd3Mg,2,Cd Mg,3 1,0.009065452,84.52709491,IM
NiCoFeCrMo0.3,5,Ni Co Fe Cr Mo,1 1 1 1 0.3,0.02377732,721.6926694,SS
Al2Cu,2,Al Cu,2 1,0.05258061,769.7151007,IM
Cu16Mg6Si7,3,Cu Mg Si,16 6 7,0.11787283,80.52120035,IM
Al4In3Sn3,3,Al In Sn,4 3 3,0.052932165,134.8414949,IM
Al1.2CrCuFeNi2,5,Al Cr Cu Fe Ni,1.2 1 1 1 2,0.056031122,369.4117282,IM+SS
Cu0.5NiCoFeAl0.5Cr,6,Cu Ni Co Fe Al Cr,0.5 1 1 1 0.5 1,0.043697561,656.1043982,SS
AlNb1.5Ta0.5Ti1.5Zr0.5,5,Al Nb Ta Ti Zr,1 1.5 0.5 1.5 0.5,0.034809102,212.5607003,SS
Co3Sn2,2,Co Sn,3 2,0.129252355,0,IM
Zr38.5Ti16.5Ni9.75Cu15.15Be20,5,Zr Ti Ni Cu Be,38.5 16.5 9.75 15.15 20,0.135289628,82.51906646,AM
Ag3Sb,2,Ag Sb,3 1,0.035160784,215.9634066,IM
Cr55Co24Nb7B14,4,Cr Co Nb B,55 24 7 14,0.133699616,122.9311266,AM
TiZrNbMoV3,5,Ti Zr Nb Mo V,1 1 1 1 3,0.070585668,1354.310386,SS
AlNbTaTiV,5,Al Nb Ta Ti V,1 1 1 1 1,0.035665443,265.7840617,SS
Pt3Al,2,Pt Al,3 1,0.013935685,30.06648396,IM
Ni45Ti20Zr25Al10,4,Ni Ti Zr Al,45 20 25 10,0.105775239,49.6223114,AM
Zr50Ni50,2,Zr Ni,50 50,0.125307125,27.27321969,AM
AlCrCuFeMnNi,6,Al Cr Cu Fe Mn Ni,1 1 1 1 1 1,0.053876835,556.7643263,SS
CuNi2FeMn2Cr,5,Cu Ni Fe Mn Cr,1 2 1 2 1,0.035676948,5353.318081,SS
AgPt3,2,Ag Pt,1 3,0.017919898,1379.432479,IM
AlTiVYZr,5,Al Ti V Y Zr,1 1 1 1 1,0.109513125,194.3541215,AM+IM
Al2Zr3,2,Al Zr,2 3,0.054589176,26.29251365,IM
Au52Pd2.3Cu29.2Si16.5,4,Au Pd Cu Si,52 2.3 29.2 16.5,0.082487017,74.15990626,AM
PtAl2,2,Pt Al,1 2,0.014970503,21.20210611,IM
Al6Mn,2,Al Mn,6 1,0.020202993,44.82386085,IM
CoCrFeNiPd,5,Co Cr Fe Ni Pd,1 1 1 1 1,0.040404358,535.4283794,SS
Al9Mn11,2,Al Mn,9 11,0.02941415,45.93121715,IM
AlTi,2,Al Ti,1 1,0.010366275,33.20717962,IM
Al2Sm,2,Al Sm,2 1,0.114371572,20.17638942,IM
Fe89Zr7B4,3,Fe Zr B,89 7 4,0.101834156,72.37395706,SS
Cu0.5NiAlCoCrFe,6,Cu Ni Al Co Cr Fe,0.5 1 1 1 1 1,0.055127965,368.6257939,AM
CrNbTiVZr,5,Cr Nb Ti V Zr,1 1 1 1 1,0.08678228,775.7213247,IM+SS
Al0.5CoCrCuFeNiV0.8,7,Al Co Cr Cu Fe Ni V,0.5 1 1 1 1 1 0.8,0.040648045,717.4941264,IM+SS
Al3Ti,2,Al Ti,3 1,0.009024231,29.62512755,IM
Al0.4Hf0.6NbTaTiZr,6,Al Hf Nb Ta Ti Zr,0.4 0.6 1 1 1 1,0.049230841,660.5171088,SS
CoCrFeNi,4,Co Cr Fe Ni,1 1 1 1,0.003021159,691.9457254,SS
Ni57Zr20Ti16Pd7,4,Ni Zr Ti Pd,57 20 16 7,0.106215111,48.09918175,AM
Cu9In4,2,Cu In,9 4,0.095366926,77.67219984,IM
NiCoCrMnV,5,Ni Co Cr Mn V,1 1 1 1 1,0.033312919,330.9936127,IM+SS
Mg65Cu7.5Ni7.5Zn5Ag5Y10,6,Mg Cu Ni Zn Ag Y,65 7.5 7.5 5 5 10,0.096142622,180.5989481,AM
SbY,2,Sb Y,1 1,0.150702427,13.77517895,IM
FeCoNiCrCuAl1.5,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 1.5,0.058925035,397.3715183,SS
Al9Co2,2,Al Co,9 2,0.049897204,45.51097248,IM
Al2Fe,2,Al Fe,2 1,0.065801411,79.80889497,IM
CuNiCoFe,4,Cu Ni Co Fe,1 1 1 1,0.011403788,461.9666534,SS
AuSb2,2,Au Sb,1 2,0.03861334,187.6656602,IM
CdMg3,2,Cd Mg,1 3,0.008971539,105.0698226,IM
B4Co,2,B Co ,4 1,0.190244979,72.71472724,IM
Mg2Ni,2,Mg Ni,2 1,0.112870012,213.2720283,IM
Zr44Ti11Cu10Ni10Be25,5,Zr Ti Cu Ni Be,44 11 10 10 25,0.144418198,70.3660387,AM
