Alloy,No,Component,Fraction,a,delta,Tm,D_Tm,Hmix,D_Hmix,Sid,VEC,D_VEC,BulkModulus,D_Bulk,Phase_inshort
Ni61Zr27Nb8Al4,4,Ni Zr Nb Al,61 27 8 4,1.36447,0.114571912,1885.9788,356.4442952,-42.07,8.519775241,0.985854077,7.7,2.896549672,1.46E+11,49.72482554,AM
AgTi3,2,Ag Ti,1 3,1.45775,0.005049711,1764.4825,305.7372784,-1.5,0.216506351,0.562335145,5.75,3.031088913,1.08E+11,4.330127019,IM
Fe89Zr5B6,3,Fe Zr B,89 5 6,1.23384,0.106093361,1859.07,141.4774367,-10.8556,5.657060995,0.422306353,7.5,1.431782106,1.74E+11,42.72430596,SS
CrSi2,2,Cr Si,1 2,1.185,0.038189733,1851.333333,232.4024287,-32.88888889,1.937996363,0.636514168,4.666666667,0.942809042,1.20E+11,28.28427125,IM
Zr58.5Nb2.8Cu15.6Ni12.8Al10.3,5,Zr Nb Cu Ni Al,58.5 2.8 15.6 12.8 10.3,1.484119,0.101110103,1851.02353,440.5852339,-34.905488,10.75480229,1.200846125,5.785,3.032618506,98905500000,41.97363839,AM
Al3Mg2,2,Al Mg,3 2,1.4996,0.055209892,929.282,5.129231521,-1.92,0.039191836,0.673011667,2.6,0.489897949,63600000000,15.18683641,IM
NiCoFeCrMo0.3,5,Ni Co Fe Cr Mo,1 1 1 1 0.3,1.254860465,0.02377732,1943.209302,313.6082253,-4.153596539,1.788112226,1.542613125,8.093023256,1.537348268,1.77E+11,16.68918616,SS
Al0.5CoCrCuFeNiV0.8,7,Al Co Cr Cu Fe Ni V,0.5 1 1 1 1 1 0.8,1.275206349,0.040648045,1755.223016,362.1920323,-4.706475183,6.116912468,1.923897003,7.857142857,2.442072649,1.58E+11,27.61740553,IM+SS
Al4(TiVCrCuFeMnCoNi)6,9,Al Ti V Cr Cu Fe Mn Co Ni,6 1 1 1 1 1 1 1 1,1.356071429,0.062761859,1434.899286,480.393691,-18.32653061,7.744333697,1.871160414,5.571428571,2.821202523,1.20E+11,42.27026745,IM+SS
AlCoCr2Cu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 1 2 0.5 1 1,1.278,0.051830718,1735.285385,414.4625896,-7.195266272,5.641018606,1.711845135,7.307692308,2.461538462,1.53E+11,34.7699115,SS
Co1.5Cr2Fe1.5NiAlMn2V ,7,Co Cr Fe Ni Al Mn V,1.5 2 1.5 1 1 2 1,1.293,0.048379564,1761.097,365.5204928,-10.15,5.161710593,1.903686688,6.95,1.961504525,1.50E+11,32.28916227,IM
Al3Ru2,2,Al Ru,3 2,1.3944,0.033025249,1602.882,819.8589138,-20.16,0.411514277,0.673011667,5,2.449489743,1.34E+11,70.54530459,IM
Al2Fe,2,Al Fe,2 1,1.368333333,0.065801411,1225.98,413.6716091,-9.777777778,0.576161081,0.636514168,4.666666667,2.357022604,1.07E+11,44.31202495,IM
CoFeNiVMo0.6,5,Co Fe Ni V Mo,1 1 1 1 0.6,1.276478261,0.034440309,2006,384.069174,-9.527410208,4.470645865,1.592685733,7.739130435,1.87007071,1.80E+11,20.85144141,IM+SS
Au2Pb,2,Au Pb,2 1,1.544666667,0.093996068,1091.756667,347.2931386,1.777777778,0.10475656,0.636514168,8.666666667,3.299831646,1.62E+11,82.02438662,IM
Al5Co2,2,Al Co,5 2,1.380285714,0.059239521,1171.907143,377.0022251,-15.51020408,1.576529096,0.598269589,4.714285714,2.710523709,1.06E+11,46.98241095,IM
AlMnNbTiV,5,Al Mn Nb Ti V,1 1 1 1 1,1.3978,0.039497885,1865.294,612.7950242,-15.52,7.290607656,1.609437912,4.8,1.326649916,1.27E+11,34.28352374,IM
Cr6Fe18Mo5,3,Cr Fe Mo,6 18 5,1.263689655,0.035956752,2074.413793,402.1868255,-1.36979786,0.356364523,0.925073829,7.24137931,0.970430847,1.78E+11,23.93510847,IM
CoCrMnNiV,5,Co Cr Mn Ni V,1 1 1 1 1,1.2824,0.033312919,1875.6,263.6972506,-9.12,4.359192586,1.609437912,7.4,1.854723699,1.60E+11,21.9089023,SS
Sm2Fe17Ni3,3,Sm Fe Ni,2 17 3,1.293409091,0.126309038,1757.331818,133.371222,-2.661157025,3.193049896,0.688917086,7.818181818,1.668869068,1.59E+11,38.52926332,IM
Al0.8CrCuFe1.5MnNi,6,Al Cr Cu Fe Mn Ni,0.8 1 1 1.5 1 1,1.290492063,0.050815514,1626.673968,364.2189321,-3.305618544,5.977947406,1.772346011,7.682539683,2.435357259,1.45E+11,32.96332815,SS
AlRe2,2,Al Re,1 2,1.394,0.019275508,2617.156667,1190.546259,-8,0.471404521,0.636514168,5.666666667,1.885618083,2.72E+11,138.5929291,IM
AlMnSi,3,Al Mn Si,1 1 1,1.311666667,0.089262097,1379.823333,322.9855246,-36.88888889,8.855725171,1.098612289,4.666666667,1.699673171,98666666667,17.98765008,IM
Al18Cr2Mg3,3,Al Cr Mg,18 2 3,1.438130435,0.056489644,1040.498261,351.6752965,-2.449905482,3.440187489,0.669893222,3.130434783,0.946588742,79260869565,26.98665917,IM
Cu5Ce,2,Cu Ce,5 1,1.369166667,0.148889736,1309.975,106.872869,-11.66666667,3.478327965,0.450561209,9.666666667,2.98142397,1.20E+11,43.97600356,IM
Ti50Ni15Cu32Sn3,4,Ti Ni Cu Sn,50 15 32 3,1.37546,0.07656994,1679.3388,330.2197274,-16.5552,7.826990087,1.100957296,7.14,3.349686553,1.29E+11,27.57514098,AM
AlTiVCrCuFeMnCoNi,9,Al Ti V Cr Cu Fe Mn Co Ni,1 1 1 1 1 1 1 1 1,1.313888889,0.06034157,1713.471111,376.4330214,-12.74074074,8.235373015,2.197224577,7,2.581988897,1.44E+11,33.58571125,SS
Al8V5,2,Al V,8 5,1.387384615,0.040676892,1414.058462,607.9016623,-15.14792899,0.41453617,0.666278442,3.769230769,0.973008511,1.08E+11,40.86635745,IM
CrMnFe1.5Ni0.5Al0.5 ,5,Cr Mn Fe Ni Al,1 1 1.5 0.5 0.5,1.288777778,0.051632523,1721.385556,357.0747141,-7.259259259,4.343833393,1.522955068,7,1.825741858,1.47E+11,32.50982757,IM+SS
Ni60Nb15Hf10Ti15,4,Ni Nb Hf Ti,60 15 10 15,1.33905,0.089571724,1991.05,393.4603506,-33.06,8.404168787,1.105889879,7.75,2.772634127,1.61E+11,29.64793416,AM
Al85.5Fe9Ce5.5,3,Al Fe Ce,85.5 9 5.5,1.436425,0.075490316,1020.01185,250.711202,-10.4742,6.045608545,0.510177328,3.45,1.430908802,81490000000,30.42170114,AM
Ni55Nb20Hf5Ti20,4,Ni Nb Hf Ti,55 20 5 20,1.3424,0.082439846,2013.9,408.0392015,-32.74,8.731425256,1.122372129,7.5,2.783882181,1.61E+11,29.40663191,AM
Cu47Ti34Zr11Ni8,4,Cu Ti Zr Ni,47 34 11 8,1.37375,0.086264529,1670.4119,306.8095331,-15.4404,7.281925809,1.166514431,7.77,3.420102338,1.25E+11,27.32836718,AM
FeNi2CrCuAl0.2,5,Fe Ni Cr Cu Al,1 2 1 1 0.2,1.258923077,0.029369486,1729.127692,302.0800404,0.118343195,5.051329363,1.443965014,8.769230769,2.099591394,1.63E+11,22.69230769,SS
FeCoNiCrCuAl0.3,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 0.3,1.263132075,0.034226856,1721.662453,318.9114023,0.156639373,5.187950399,1.735856225,8.471698113,2.142153506,1.61E+11,25.37437732,SS
Ti50Ni24Cu20BSi2Sn3,6,Ti Ni Cu B Si Sn,50 24 20 1 2 3,1.3655,0.090987912,1729.1464,314.3896565,-25.9576,10.7893477,1.240457997,6.83,3.231269101,1.33E+11,36.6696114,AM
Cu9In4,2,Cu In,9 4,1.364769231,0.095366926,1072.225385,428.3169231,8.520710059,0.682749203,0.61724177,8.538461538,3.692307692,1.07E+11,49.23230769,IM
AuSn,2,Au Sn,1 1,1.531,0.05813194,921.205,416.125,-10,0,0.693147181,7.5,3.5,1.39E+11,81,IM
AlNi,2,Al Ni,1 1,1.339,0.069454817,1330.735,397.265,-22,0,0.693147181,6.5,3.5,1.28E+11,52,IM
Al3V,2,Al V,3 1,1.403,0.035801478,1245.8525,541.0623614,-12,1.732050808,0.562335145,3.5,0.866025404,97000000000,36.37306696,IM
CuCoNiCrAl1.8Fe,6,Cu Co Ni Cr Al Fe,1 1 1 1 1.8 1,1.300382353,0.061325834,1547.796471,431.3700794,-8.079584775,6.719232835,1.761332024,7.264705882,2.95365002,1.42E+11,41.72844325,SS
CoCrFeNiAlNb0.5,6,Co Cr Fe Ni Al Nb,1 1 1 1 1 0.5,1.297,0.063318485,1780.994545,495.5926848,-16.52892562,7.034356942,1.767761472,7,2.449489743,1.55E+11,37.78670018,IM+SS
CoCrFeNiAl1.17,5,Co Cr Fe Ni Al,1 1 1 1 1.17,1.288673114,0.060206608,1659.411973,423.4579137,-13.10042688,5.664080751,1.607341859,7.061895551,2.553118222,1.51E+11,41.03274543,SS
HfNbTiZr,4,Hf Nb Ti Zr,1 1 1 1,1.518,0.048723866,2331.25,316.0279853,2.5,1.211919964,1.386294361,4.25,0.433012702,1.15E+11,35.44545399,SS
AlMoNbSiTaTiVZr,8,Al Mo Nb Si Ta Ti V Zr,1 1 1 1 1 1 1 1,1.3985,0.086560415,2226.05875,699.0533575,-32.1875,18.28458169,2.079441542,4.5,0.866025404,1.40E+11,55.20277881,AM
Ni3Sn,2,Ni Sn,3 1,1.3395,0.120900896,1422.27,529.5398934,-3,0.433012702,0.562335145,8.5,2.598076211,1.50E+11,52.82754963,IM
AlCo3.5CrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 3.5 1 0.5 1 1,1.2731875,0.047546288,1689.919375,336.3415257,-7.03125,5.451680601,1.574679442,8,2.263846285,1.61E+11,33.82214511,SS
Cu2In,2,Cu In,2 1,1.372,0.096892183,1048.43,437.4728234,8.888888889,0.523782801,0.636514168,8.333333333,3.771236166,1.04E+11,50.28472023,IM
CuMgSb,3,Cu Mg Sb,1 1 1,1.403,0.100931888,1061.516667,209.629642,-5.333333333,5.490732934,1.098612289,6,3.741657387,75666666667,45.50702022,IM
Mg80Ni10Nd10,3,Mg Ni Nd,80 10 10,1.5694,0.069087087,1040.6,254.434353,-4.4,2.602152955,0.63903186,2.9,2.385372088,57200000000,41.11642008,AM
BNi2,2,B Ni,1 2,1.104,0.181900657,1934.666667,292.2708029,-21.33333333,1.257078722,0.636514168,7.666666667,3.299831646,2.27E+11,65.99663291,IM
Al3Ti,2,Al Ti,3 1,1.4395,0.009024231,1185.3525,436.2732875,-22.5,3.247595264,0.562335145,3.25,0.433012702,84500000000,14.72243186,IM
Ca2Mg6Zn3,3,Ca Mg Zn,2 6 3,1.613,0.119248417,895.0945455,142.7980293,-9.123966942,3.618654683,0.994923633,4.727272727,4.453617714,46727272727,17.60728625,IM
CoCrFeNiTi0.5 ,5,Co Cr Fe Ni Ti,1 1 1 1 0.5,1.270666667,0.05331036,1879.444444,171.4436163,-11.55555556,6.887981709,1.58109375,7.777777778,1.930905244,1.66E+11,21.14033066,IM+SS
CoCrCuFeZr0.8 ,5,Co Cr Cu Fe Zr,1 1 1 1 0.8,1.312791667,0.099335677,1837.327083,295.9770822,-9.6875,10.48410138,1.60580651,7.75,2.349645363,1.47E+11,36.73341988,AM+IM
NbCrFeMnCoNi,6,Nb Cr Fe Mn Co Ni,1 1 1 1 1 1,1.294333333,0.054946307,1959.333333,404.1178321,-12,6.620674689,1.791759469,7.5,1.707825128,1.63E+11,20.54804668,IM+SS
Fe3W2,2,Fe W,3 2,1.2914,0.047798623,2564.6,922.9677351,0,0,0.673011667,7.2,0.979795897,2.26E+11,68.5857128,IM
Al3Zr,2,Al Zr,3 1,1.47475,0.050208627,1232.1025,517.2466628,-33,4.763139721,0.562335145,3.25,0.433012702,74708333333,2.237232293,IM
AlCu2Ti,3,Al Cu Ti,1 2 1,1.3625,0.062505012,1397.5025,358.4246911,-12.5,6.099436449,1.039720771,7.25,3.766629793,1.17E+11,26.39602243,IM
Nd60Al10Ni10Cu10Fe10,5,Nd Al Ni Cu Fe,60 10 10 10 10,1.5037,0.115754332,1359.424,233.8568998,-22.12,8.934826243,1.227529411,5,3.130495168,75800000000,59.46730194,AM
Mg6Pd,2,Mg Pd,6 1,1.568714286,0.050412957,1052.292857,316.7015274,-19.59183673,7.141369512,0.410116318,3.142857143,2.799416849,64285714286,47.24015933,IM
Ti53Cu27Ni12Zr3Al7Si3B,7,Ti Cu Ni Zr Al Si B,53 27 12 3 7 3 1,1.377886792,0.086004211,1703.736604,326.9562137,-24.8508366,10.91405203,1.366788232,6.386792453,3.306856099,1.24E+11,33.60189122,AM
FeNiCrMnTi,5,Fe Ni Cr Mn Ti,1 1 1 1 1,1.3096,0.065935799,1835.8,220.0630819,-13.28,7.233544083,1.609437912,7,2,1.48E+11,27.85677655,IM+SS
Cu55Zr40Al5,3,Cu Zr Al,55 40 5,1.4157,0.110505978,1644.647,404.9750764,-23.87,4.759660781,0.845113257,7.8,3.544009029,1.09E+11,34.14176328,AM
Ti50Ni20Cu25Sn5,4,Ti Ni Cu Sn,50 20 25 5,1.3807,0.08076088,1680.7965,359.8618612,-19.61,8.772941482,1.164821377,6.95,3.278337994,1.29E+11,31.35267134,AM
AlNbTaTiV,5,Al Nb Ta Ti V,1 1 1 1 1,1.4138,0.035665443,2219.494,795.005429,-13.44,7.484426498,1.609437912,4.4,0.8,1.43E+11,44.37296474,SS
AlNd,2,Al Nd,1 1,1.536,0.067708333,1113.735,180.265,-38,0,0.693147181,3,0,54000000000,22,IM
Al7Cu3Mg6,3,Al Cu Mg,7 3 6,1.4665,0.080587476,1009.1,167.5617134,-2.484375,0.487781971,1.043353427,4.125,3.333072906,76375000000,33.58920027,IM
Nd60Al10Ni10Cu16Fe4,5,Nd Al Ni Cu Fe,60 10 10 16 4,1.50592,0.113487044,1332.2302,204.241176,-25.2352,8.010368346,1.18898046,5.18,3.374551822,74000000000,56.9912274,AM
CrMo0.5NbTa0.5TiZr ,6,Cr Mo Nb Ta Ti Zr,1 0.5 1 0.5 1 1,1.4279,0.080423557,2418.4,441.1190769,-4.92,3.389900294,1.748067349,4.9,0.830662386,1.45E+11,50.39951499,IM+SS
Ag2Ga3,2,Ag Ga,2 3,1.4132,0.018372906,675.718,456.594686,-4.8,0.09797959,0.673011667,6.2,3.919183588,73600000000,21.55550974,IM
AuBe5,2,Au Be,1 5,1.180333333,0.09914224,1522.888333,82.98420942,0,0,0.450561209,3.5,3.354101966,1.45E+11,33.54101966,IM
Ni60Zr28Nb7Al5,4,Ni Zr Nb Al,60 28 7 5,1.36807,0.115247253,1871.8135,358.8808343,-43.0104,8.479275566,0.99886058,7.62,2.935234233,1.44E+11,50.54545809,AM
Co2V3,2,Co V,2 3,1.29,0.02468478,2017,203.3076487,-13.44,0.274342851,0.673011667,6.6,1.959591794,1.68E+11,9.797958971,IM
Ho35Al24Co20Y21,4,Ho Al Co Y,35 24 20 21,1.5904,0.139546791,1566.8728,356.4402986,-33.9328,10.65387477,1.359569279,4.2,2.4,76850000000,53.60342806,AM
Pt5Al3,2,Pt Al,5 3,1.403875,0.015518142,1625.92625,536.3743048,-41.25,1.331338025,0.661563238,7.375,3.388860428,1.72E+11,74.55492941,IM
Cu54Ni6Zr22Ti18,4,Cu Ni Zr Ti,54 6 22 18,1.3807,0.099427646,1654.4158,334.6187713,-18.0096,7.428526763,1.143316977,8.14,3.388273897,1.22E+11,31.28320902,AM
FeNi2CrCuAl0.8,5,Fe Ni Cr Cu Al,1 2 1 1 0.8,1.276827586,0.049557717,1646.818276,374.8702879,-4.613555291,6.27048773,1.549620069,8.172413793,2.653156422,1.54E+11,34.00356699,SS
AlCu2Mn,3,Al Cu Mn,1 2 1,1.3345,0.047586315,1292.0025,217.2119625,-3.25,4.765189529,1.039720771,8,3.31662479,1.19E+11,26.13426869,IM
Ti2CrCuFeCoNi,6,Ti Cr Cu Fe Co Ni,2 1 1 1 1 1,1.312714286,0.07240603,1818.11,234.143597,-14.04081633,9.481291617,1.747868097,7.428571429,2.610809555,1.50E+11,28.28427125,IM
Au3In2,2,Au In,3 2,1.4892,0.038818129,974.298,444.6215802,-10.56,0.215555097,0.673011667,7.8,3.919183588,1.45E+11,91.44925006,IM
Al2Li3Si2,3,Al Li Si,2 3 2,1.389571429,0.110750648,943.1442857,510.6755084,6.530612245,11.58595594,1.078992208,2.428571429,1.293626448,55000000000,39.16995933,IM
Cu2GeLi,3,Cu Ge Li,2 1 1,1.32875,0.083485233,1095.1575,375.1411477,-16.875,6.375995633,1.039720771,6.75,4.380353867,72750000000,67.36235967,IM
CrNbTiVZr,5,Cr Nb Ti V Zr,1 1 1 1 1,1.4118,0.08678228,2236.4,271.5986745,-4.64,3.054020301,1.609437912,4.8,0.748331477,1.34E+11,37.98391472,IM+SS
Ag5Cd8,2,Ag Cd,5 8,1.520692308,0.039350514,840.6469231,311.7081415,-1.893491124,0.051817021,0.666278442,11.61538462,0.486504255,64307692308,28.21724681,IM
Al9Mn11,2,Al Mn,9 11,1.3869,0.02941415,1255.5115,291.297497,-18.81,0.094523807,0.688138814,5.2,1.989974874,1.00E+11,21.88972362,IM
B4Fe4Nd,3,B Fe Nd,4 4 1,1.098222222,0.251152365,1992.222222,353.5834894,-30.02469136,8.277252404,0.964962923,5.222222222,2.484519975,2.21E+11,97.36985616,IM
Ni50Nb20Hf5Ti25,4,Ni Nb Hf Ti,50 20 5 25,1.3532,0.082227802,2024.55,403.1889724,-33.14,9.625171219,1.164821377,7.2,2.821347196,1.57E+11,31,AM
Ni60Zr27Nb8Al5,4,Ni Zr Nb Al,60 27 8 5,1.36633,0.114185823,1878.0335,368.5275633,-42.4704,8.718633256,1.011860276,7.63,2.924568344,1.45E+11,50.08005466,AM
Mg70Ni15Nd15,3,Mg Ni Nd,70 15 15,1.5536,0.083639826,1099.4,294.504567,-6.9,3.601989034,0.818808456,3.35,2.815581645,63300000000,49.23626712,AM
Zr41Ti14Cu12.5Ni10Be22.5,5,Zr Ti Cu Ni Be,41 14 12.5 10 22.5,1.40006,0.139805008,1837.74125,288.7779418,-35.148,13.43727923,1.466622078,5.025,3.094248697,1.09E+11,36.34278451,AM
AlCrMoSiTi,5,Al Cr Mo Si Ti,1 1 1 1 1,1.3318,0.08678293,1927.494,639.9791623,-34.08,14.82886914,1.609437912,4.6,1.2,1.35E+11,54.73719028,IM
CoCr2FeNiAl0.3,5,Co Cr Fe Ni Al,1 2 1 1 0.3,1.257660377,0.034061991,1876.800189,303.7906574,-6.920612318,3.359405582,1.474291251,7.528301887,1.909299719,1.65E+11,23.39470476,IM+SS
AlCoCrCuFe0.5Ni,6,Al Co Cr Cu Fe Ni,1 1 1 1 0.5 1,1.286636364,0.054035009,1613.225455,405.6967283,-5.553719008,6.48975044,1.767761472,7.818181818,2.790183501,1.49E+11,37.35113704,SS
Cu2Ti,2,Cu Ti,2 1,1.339333333,0.064762393,1552.18,274.9372587,-8,0.471404521,0.636514168,8.666666667,3.299831646,1.30E+11,14.14213562,IM
Cu3Sb,2,Cu Sb,3 1,1.291,0.017441255,1244.2725,196.5834365,5.25,0.757772228,0.562335145,9.5,2.598076211,1.16E+11,42.43524479,IM
AlCe1,2,Al Ce,1 1,1.6285,0.120663187,1002.235,68.765,-38,0,0.693147181,3,0,49000000000,27,IM
Al45Cr7,2,Al Cr,45 7,1.407365385,0.044380905,1101.272115,425.4560153,-4.659763314,1.82268844,0.395067121,3.403846154,1.023936886,87307692308,28.6702328,IM
Co43Fe20Ta5.5B31.5,4,Co Fe Ta B,43 20 5.5 31.5,1.12308,0.186632352,2043.01,397.6328959,-26.5718,8.474458371,1.20820046,6.69,2.661559693,2.23E+11,65.95271033,AM
Gd40Al24Co20Y16,4,Gd Al Co Y,40 24 20 16,1.6026,0.144754321,1499.8728,329.6313723,-34.3168,10.30763721,1.324124835,4.2,2.4,76000000000,54.19225037,AM
AuPb3,2,Au Pb,1 3,1.673,0.07971782,784.79,319.0091177,1.5,0.216506351,0.562335145,5.75,3.031088913,89500000000,75.34421013,IM
Al6CoMn,3,Al Co Mn,6 1 1,1.399125,0.044375959,1110.9775,313.6906122,-14.5625,2.262942917,0.73562194,4.25,2.222048604,94500000000,35.38007914,IM
La55Al25Ni5Cu10Co5,5,La Al Ni Cu Co,55 25 5 10 5,1.6441,0.16166711,1200.0945,224.3792294,-32.31,7.956107151,1.205215677,4.45,2.923610781,66400000000,51.6356466,AM
BFe14Nd2,3,B Fe Nd,1 14 2,1.263176471,0.134029966,1781.764706,218.0686695,-6.006920415,6.075547782,0.578325287,7.117647059,1.906100205,1.63E+11,59.2373678,IM
Al2Sm,2,Al Sm,2 1,1.558,0.114371572,1070.696667,194.0678131,-33.77777778,1.990374643,0.636514168,3,0,63333333333,17.91337179,IM
Sr46Al14Co20Y21,4,Sr Al Co Y,46 14 20 20,1.801,0.204941992,1327.0858,374.7393136,-4.6048,11.10199212,1.276234208,3.74,2.666908322,60311212121,63.65902888,AM
Ca6.23Mg3.78Sn7,3,Ca Mg Sn,6.23 3.78 7,1.746164609,0.100146686,821.3374486,273.9374307,-32.37555251,11.42854752,1.06750262,2.823045267,0.984218991,40094650206,18.23811672,IM
Pd75Si25,2,Pd Si,75 25,1.3195,0.072852459,1792.7875,61.0764416,-41.25,5.953924651,0.562335145,8.5,2.598076211,1.60E+11,34.64101615,AM
Cd3Cu4,2,Cd Cu,3 4,1.402285714,0.10234204,1030.534286,377.8592555,5.87755102,0.06059653,0.682908105,11.42857143,0.494871659,98000000000,48.49742261,IM
TiZrHfCuNi,5,Ti Zr Hf Cu Ni,1 1 1 1 1,1.4334,0.103363704,1932.154,384.5332169,-27.36,13.31702069,1.609437912,6.6,3.2,1.22E+11,36.31498007,AM
CuGeLi2,3,Cu Ge Li,1 1 2,1.389,0.094090991,869.1375,418.658151,-22.625,8.012014903,1.039720771,4.25,4.08503366,40500000000,57.62161053,IM
HoDyYGdTb,5,Ho Dy Y Gd Tb,1 1 1 1 1,1.7848,0.008091442,1689.2,77.05686212,0,0,1.609437912,3,4.44E-16,39740000000,1.212600511,SS
La55Al25Ni10Cu10,4,La Al Ni Cu,55 25 10 10,1.64385,0.161917819,1198.0945,219.4320318,-33.6,7.606589249,1.135900959,4.5,3.008321791,66400000000,51.6356466,AM
Cr55Co24Nb7B14,4,Cr Co Nb B,55 24 7 14,1.20202,0.133699616,2144.54,257.2460075,-19.7604,7.83184931,1.132722278,6.23,1.853941747,1.88E+11,53.93134525,AM
Al16Ru8Ti6,3,Al Ru Ti,16 8 6,1.412933333,0.032989908,1581.250667,728.1878816,-33.92,5.456818446,1.009613758,4.533333333,2.12498366,1.21E+11,60.97343684,IM
Cu0.5NiCoFeAl0.5Cr,6,Cu Ni Co Fe Al Cr,0.5 1 1 1 0.5 1,1.2684,0.043697561,1726.524,345.5303732,-4.6,5.437425862,1.748067349,8,2.28035085,1.60E+11,30.42104535,SS
Mg2Ni,2,Mg Ni,2 1,1.482666667,0.112870012,1191.333333,379.4806392,-3.555555556,0.20951312,0.636514168,4.666666667,3.771236166,90000000000,63.63961031,IM
Al0.5CoCrCuFeNiTi1.0 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.0,1.298923077,0.065347465,1731.154615,330.6884492,-11.59763314,9.006469181,1.925121191,7.615384615,2.646869313,1.50E+11,32.19320374,IM+SS
BCaNi4,3,B Ca Ni,1 1 4,1.296666667,0.263224514,1729.166667,355.940265,-16.22222222,4.135065348,0.867563228,7.5,3.547299442,1.76E+11,87.63640162,IM
Al2Zr3,2,Al Zr,2 3,1.5346,0.054589176,1650.188,585.1977965,-42.24,0.862220389,0.673011667,3.6,0.489897949,72900000000,2.531139401,IM
BIn2Ni7,3,B In Ni,1 2 7,1.2662,0.152853149,1530.35,580.0561094,-4.16,6.533566254,0.801818553,7.9,3.207802986,1.65E+11,77.63559895,IM
La55Al25Ni5Cu15,4,La Al Ni Cu,55 25 5 15,1.64545,0.160356368,1179.583,187.1965872,-31.93,7.898110185,1.109738552,4.55,3.106042498,64400000000,47.83137046,AM
Cu11In9,2,Cu In,11 9,1.4049,0.099859939,940.161,461.6841207,9.9,0.049749372,0.688138814,7.4,3.979949748,91998500000,53.06765496,IM
Ni40Cu6Ti16Zr28Al10,5,Ni Cu Ti Zr Al,40 6 16 28 10,1.40104,0.107382417,1772.4132,348.4802935,-42.8112,13.81818802,1.415222868,6.72,3.168848371,1.25E+11,48.17613517,AM
Tb36Al24Co20Y20,4,Tb Al Co Y,36 24 20 20,1.59544,0.141642517,1523.8728,338.6670153,-34.5664,10.76440009,1.354077539,4.2,2.4,76372000000,53.93446038,AM
Cu0.5NiCoCrAl0.5Fe3.5,6,Cu Ni Co Cr Al Fe,0.5 1 1 1 0.5 3.5,1.259266667,0.037372801,1754.682667,284.921007,-2.577777778,4.446064149,1.522699926,8,1.861898673,1.63E+11,25.31789003,SS
CuAlNiCoCrFeSi,7,Cu Al Ni Co Cr Fe Si,1 1 1 1 1 1 1,1.264285714,0.061258363,1637.891429,363.7081427,-18.85714286,11.62196071,1.945910149,7.285714286,2.813959372,1.44E+11,37.98388488,SS
Cu0.5NiAlCoCrFe,6,Cu Ni Al Co Cr Fe,0.5 1 1 1 1 1,1.283272727,0.055127965,1654.428182,400.6439315,-7.933884298,6.17851619,1.767761472,7.545454545,2.606412943,1.52E+11,37.66840972,AM
B6Ni20Ti3,3,B Ni Ti,6 20 3,1.180206897,0.165267647,1878.310345,248.256278,-28.65160523,4.939410257,0.81691517,7.931034483,3.095391842,2.02E+11,63.95413041,IM
Ni61Al11Ni8Co5Cu15,5,Nd Al Ni Co Cu,61 11 8 5 15,1.51185,0.110637097,1322.3272,201.0170355,-22.5536,9.915696617,1.1807339,5.06,3.328122594,72280000000,56.45884873,AM
Mg60Cu29Y10Si,4,Mg Cu Y Si,60 29 10 1,1.52295,0.114128758,1144.3233,297.3344804,-7.2164,4.045657299,0.941789149,4.73,4.022076578,72700000000,43.37983402,AM
Cu4Ti3,2,Cu Ti,4 3,1.356857143,0.067108307,1607.725714,288.6239979,-8.816326531,0.090894795,0.682908105,8,3.464101615,1.27E+11,14.84614978,IM
Cu4In,2,Cu In,4 1,1.3344,0.084532374,1172.166,371.208,6.4,1.44,0.500402424,9.4,3.2,1.19E+11,42.668,IM
Cu43Zr43Al7Ag7,4,Cu Zr Al Ag,43 43 7 7,1.44022,0.104648958,1650.6691,427.7474218,-24.6744,7.266321097,1.098110666,7.43,3.57842144,1.03E+11,32.94310461,AM
Co2Mo0.5Ni2VW0.5,5,Co Mo Ni V W,2 0.5 2 1 0.5,1.279166667,0.035703416,2078.416667,590.2161268,-8.944444444,4.547543108,1.445185879,8.166666667,1.950783318,1.92E+11,39.33474574,IM+SS
Al0.5CoCrCu0.5FeNi2 ,6,Al Co Cr Cu Fe Ni,0.5 1 1 0.5 1 2,1.264666667,0.04054888,1726.77,315.4251125,-5.194444444,5.240246365,1.676234939,8.333333333,2.211083194,1.63E+11,28.7923601,IM+SS
CoFeMnNiV,5,Co Fe Mn Ni V,1 1 1 1 1,1.2808,0.034408139,1801.8,215.3893219,-8.96,4.304862367,1.609437912,7.8,1.720465053,1.62E+11,22.27105745,SS
Ag7Sb,2,Ag Sb,7 1,1.430625,0.026584657,1193.53625,109.5175683,-1.75,0.744117556,0.376770161,10.25,1.984313483,92750000000,19.18169701,IM
AgZn3,2,Ag Zn,1 3,1.4075,0.015382334,828.2425,234.8011376,-3,0.433012702,0.562335145,11.75,0.433012702,77500000000,12.99038106,IM
