Alloy,No,Component,Fraction,a,delta,Tm,D_Tm,Hmix,D_Hmix,Sid,VEC,D_VEC,BulkModulus,D_Bulk,Phase_inshort
CrFe,2,Cr Fe,1 1,1.245,0.003212851,1995.5,184.5,-1,0,0.693147181,7,1,1.65E+11,5,IM
Cu0.75NiCoFeCrAl0.25,6,Cu Ni Co Fe Cr Al,0.75 1 1 1 1 0.25,1.2607,0.032503327,1747.739,307.0723137,-0.71,4.940735851,1.721904941,8.4,2.059126028,1.63E+11,24.18594633,SS
Al2Ce,2,Al Ce,2 1,1.563,0.118529736,979.3133333,64.83226374,-33.77777778,1.990374643,0.636514168,3,0,58000000000,25.45584412,IM
AlCrMoTaTiZr,6,Al Cr Mo Ta Ti Zr,1 1 1 1 1 1,1.423166667,0.074763443,2228.078333,746.6088762,-16.11111111,8.932301396,1.791759469,4.666666667,1.105541597,1.41E+11,60.37693457,AM
Al1.5CoCrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1.5 1 1 0.5 1 1,1.295666667,0.061149968,1594.348333,432.2554029,-10.13888889,6.49606618,1.748155457,7.166666667,2.793842436,1.46E+11,41.73594241,SS
Al13Cr4Si4,3,Al Cr Si,13 4 4,1.344,0.086327848,1314.43381,508.9099509,-19.04761905,4.620131185,0.928584507,3.761904762,1.150766283,96571428571,32.10187864,IM
Cr50Co29Nb7B14,4,Cr Co Nb B,50 29 7 14,1.20212,0.133713301,2123.94,269.7728608,-20.0244,8.003736406,1.166961156,6.38,1.948229966,1.89E+11,53.58908471,AM
Ti40Zr25Ni8Cu9Be18,5,Ti Zr Ni Cu Be,40 25 8 9 18,1.40329,0.120055375,1849.6393,246.5119134,-28.2612,11.95009733,1.440526996,4.75,2.72901081,1.12E+11,30.39838606,AM
Al3Ca8,2,Al Ca,3 8,1.827636364,0.132562915,1065.491818,80.84652236,-15.8677686,1.840337898,0.585952618,2.272727273,0.445361771,33090909091,26.27634451,IM
AlCoCrCu0.5Fe1.5Ni,6,Al Co Cr Cu Fe Ni,1 1 1 0.5 1.5 1,1.27975,0.053707931,1667.475833,386.0206166,-7.138888889,5.916356477,1.748155457,7.583333333,2.498610725,1.54E+11,36.40627235,SS
Al0.8CrCuFeMn1.5Ni,6,Al Cr Cu Fe Mn Ni,0.8 1 1 1 1.5 1,1.299142857,0.0505464,1603.499365,361.0290668,-4.232804233,6.034412952,1.772346011,7.603174603,2.440008343,1.41E+11,32.76784122,SS
Ti1Zr1Cu1Ni1Be1,5,Ti Zr Cu Ni Be,1 1 1 1 1,1.3434,0.12527682,1742.954,271.8621497,-30.24,13.75624367,1.609437912,6.2,3.6,1.26E+11,35.85309533,AM
B6Mn2Ni21,3,B Mn Ni,6 2 21,1.165034483,0.152913573,1841.862069,263.7782146,-17.80737218,3.663758269,0.744129541,8.344827586,2.831788299,2.05E+11,60.72099504,IM
B2CoW2,3,B Co W,2 1 2,1.125,0.224540442,2770.8,783.7625661,-27.84,7.772270711,1.054920168,5.4,2.244994432,2.88E+11,54.18486874,IM
Fe2Si,2,Fe Si,2 1,1.211666667,0.034236807,1769.666667,58.45416058,-31.11111111,1.833239803,0.636514168,6.666666667,1.885618083,1.47E+11,32.99831646,IM
Al20Li20Mg10Sc20Ti30,5,Al Li Mg Sc Ti,20 20 10 20 30,1.5171,0.051625095,1314.832,600.177793,-0.4,14.11674183,1.557113098,2.8,1.077032961,66300000000,35.58103427,SS
CdMg3,2,Cd Mg,1 3,1.59275,0.008971539,840.805,142.3659161,-4.5,0.649519053,0.562335145,4.5,4.330127019,44250000000,1.299038106,IM
AlSb,2,Al Sb,1 1,1.381,0.036929761,918.625,14.845,2,0,0.693147181,4,1,59000000000,17,IM
Al2Ru,2,Al Ru,2 1,1.400666667,0.031636381,1491.313333,788.9096077,-18.66666667,1.099943882,0.636514168,4.666666667,2.357022604,1.24E+11,67.88225099,IM
Ni57.5Zr30Nb5Al7.5,4,Ni Zr Nb Al,57.5 30 5 7.5,1.3762,0.116152692,1839.51025,367.6078185,-45.045,8.423596153,1.023445004,7.425,3.015688147,1.39E+11,52.02216675,AM
Cu2In3Sn1,3,Cu In Sn,2 3 1,1.476,0.095938404,751.645,429.4218019,8.222222222,2.498696505,1.011404265,5.833333333,3.670452591,72998333333,48.17351742,IM
Al2FeTi,3,Al Fe Ti,2 1 1,1.39175,0.063152898,1404.735,473.5010034,-24.75,5.552659836,1.039720771,4.5,2.061552813,1.08E+11,38.39270764,IM
Cu53.2Zr41.8Al5,3,Cu Zr Al,53.2 41.8 5,1.42155,0.110625144,1658.51114,408.0889228,-24.243392,4.782504698,0.850148554,7.674,3.552425087,1.08E+11,34.25440811,AM
Zr41.2Ti13.8Cu12.5Ni10Be22.5,5,Zr Ti Cu Ni Be,41.2 13.8 12.5 10 22.5,1.400342,0.139912901,1838.11525,289.0324122,-35.1966,13.42421791,1.464453824,5.025,3.094248697,1.09E+11,36.38314537,AM
Nd60Al15Ni10Cu10Fe5,5,Nd Al Ni Cu Fe,60 15 10 10 5,1.51325,0.108609644,1315.5475,227.2436989,-27.37,8.398888483,1.201367004,4.75,3.080178566,71100000000,55.41290463,AM
B4Co,2,B Co ,4 1,0.9062,0.190244979,2232,232,-15.36,3.456,0.500402424,4.2,2.4,2.92E+11,56,IM
Al4Li9,2,Al Li,4 9,1.492230769,0.026908604,601.3146154,221.4369231,-3.408284024,0.273099681,0.61724177,1.615384615,0.923076923,31000000000,30,IM
Ni62Zr28Nb7Al3,4,Ni Zr Nb Al,62 28 7 3,1.36435,0.11603108,1887.7041,333.6867065,-42.1864,8.071584948,0.944157525,7.76,2.877915913,1.46E+11,49.85878324,AM
TiZrNbMoV0.75,5,Ti Zr Nb Mo V,1 1 1 1 0.75,1.440842105,0.067275694,2389.947368,380.5861786,-2.703601108,2.178467242,1.603568103,4.789473684,0.766327357,1.48E+11,55.65628756,SS
Al4Ca,2,Al Ca,4 1,1.5408,0.141225337,969.776,72.612,-12.8,2.88,0.500402424,2.8,0.4,64200000000,23.6,IM
AuNi2Sn4,3,Au Ni Sn,1 2 4,1.487714286,0.110431443,973.3785714,554.0218989,-4.734693878,2.823437172,0.955699891,6.714285714,3.149343955,1.16E+11,68.10076568,IM
Pr60Al10Ni10Cu20,4,Pr Al Ni Cu,60 10 10 20,1.5134,0.114621559,1260.191,190.6511885,-27.52,6.697493262,1.088899975,5.3,3.522782991,71000000000,56.5791481,AM
CrHfNbTiZr ,5,Cr Hf Nb Ti Zr,1 1 1 1 1,1.4642,0.086265386,2301,289.0660824,-4,3.57211422,1.609437912,4.6,0.8,1.24E+11,36.41580853,IM+SS
AlCoCrCuFeNiTiV,8,Al Co Cr Cu Fe Ni Ti V,1 1 1 1 1 1 1 1,1.309375,0.063384349,1737.78,392.55095,-13.9375,8.7606938,2.079441542,7,2.738612788,1.47E+11,34.46737588,SS
Sb3Y4,2,Sb Y,3 4,1.599714286,0.146013213,1415.334286,443.0190068,-66.6122449,0.68676067,0.682908105,3.857142857,0.989743319,41428571429,0.494871659,IM
Ni57.5Zr28Nb7Al7.5,4,Ni Zr Nb Al,57.5 28 7 7.5,1.37272,0.114180352,1851.95025,387.1641249,-43.9414,9.015860877,1.055045141,7.445,2.996160042,1.41E+11,51.27237723,AM
HfB2,2,Hf B,1 2,1.072666667,0.333118049,2400.666667,74.48191428,-58.66666667,3.456966486,0.636514168,3.333333333,0.471404521,2.50E+11,98.99494937,IM
